cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
0,1,0,oscillatory,-0.7827409582727977,9.892521036629273e-19,24,-0.999966722471,1.0000332786367556,1.0000332786367556,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
1,1,1,oscillatory,0.7827409582727977,9.892521036629273e-19,24,0.999966722471,1.0000332786367556,1.0000332786367556,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
2,2,2;8,oscillatory,-0.7697773650490451,-4.492853304135795e-18,23,-0.999965260579;-0.999965260579,1.0005279549385224,1.0005717253057334,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
3,2,3;9,oscillatory,0.7697773650490451,-4.492853304135795e-18,23,0.999965260579;0.999965260579,1.0005279549385224,1.0005717253057334,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
4,2,4;6,oscillatory,-0.7794876513367671,7.386415707349858e-17,23,-0.999966363011;-0.999966363011,10.676944626955224,20.351603611789333,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
5,2,5;7,oscillatory,0.7794876513367671,7.386415707349858e-17,23,0.999966363011;0.999966363011,10.676944626955224,20.351603611789333,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
6,2,10;16,oscillatory,-0.753758354616193,-1.0222271737850249e-17,24,-0.999963340049;-0.999963340049,8.004533179894167,15.009022274122678,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
7,2,11;17,oscillatory,0.753758354616193,-1.0222271737850249e-17,24,0.999963340049;0.999963340049,8.004533179894167,15.009022274122678,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
8,2,12;14,oscillatory,-0.7316755529783125,1.3190028048839032e-17,24,-0.999960465705;-0.999960465705,4.0569199672106375,5.449500158524365,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
9,2,13;15,oscillatory,0.7316755529783125,1.3190028048839032e-17,24,0.999960465705;0.999960465705,4.0569199672106375,5.449500158524365,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
10,2,18;20,oscillatory,-0.7038673396618902,9.233019634187322e-18,24,-0.999956423248;-0.999956423248,3.7482946480894235,6.483737194531676,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
11,2,19;21,oscillatory,0.7038673396618902,9.233019634187322e-18,24,0.999956423248;0.999956423248,3.7482946480894235,6.483737194531676,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
