source,mode,variant,setting,selection_reason,charge,hooke,power,early_E_per_100,E_i01000,E_i10000,original_balance_file,original_sha256,raw_handoff_file,raw_handoff_sha256,canonical_300_file,canonical_300_sha256,orientation_reversed,scale_modified_for_target
BALX_001,all20,T23,QCEN,ALL20,23.54,1.0,5.5,0.005908603561591446,0.037713914507360946,0.05554350283053622,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\T23__QCEN_i10000.txt,30e45d76b64aaa17521b1b64b612e2aefb8665ab914517845dc9a1ef071ef33f,prepared/all20/inputs/BALX_001.txt,30e45d76b64aaa17521b1b64b612e2aefb8665ab914517845dc9a1ef071ef33f,prepared/all20/canonical_300/BALX_001_arclength300.txt,21bb8be695bb99e0d6a197d11c4830c07c2f8ebd9e63c7b04a86288a02a80ee9,False,False
BALX_002,all20,T23,HHI,ALL20,26.13523205937009,1.3,5.5,0.0049067721362264175,0.028873941734434028,0.03966074881862591,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\T23__HHI_i10000.txt,31742801dd83cc0c206d12f4d9ab9bbc6c3e02655b14f564febeaae3168e666a,prepared/all20/inputs/BALX_002.txt,31742801dd83cc0c206d12f4d9ab9bbc6c3e02655b14f564febeaae3168e666a,prepared/all20/canonical_300/BALX_002_arclength300.txt,1a8b6ab3f7038f0d7787e73e34f811f148eaf7de3b1b51a7da2b8eff196413f8,False,False
BALX_003,all20,K31,HLO,ALL20,26.13523205937009,1.05,5.5,0.006016821024935749,0.032534355625412736,0.04916003246456835,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\K31__HLO_i10000.txt,9b121422ff9584abba31c32d8b74eb9693d9c29547eb57ffbdf24cd6d67cf13c,prepared/all20/inputs/BALX_003.txt,9b121422ff9584abba31c32d8b74eb9693d9c29547eb57ffbdf24cd6d67cf13c,prepared/all20/canonical_300/BALX_003_arclength300.txt,94745bca396d98d54d423d2129fe48fa502d95fd91be3ce78e261ba729bebd94,False,False
BALX_004,all20,K31,R100,ALL20,37.27046411874018,1.3563655804274017,6.0,0.0006849953049959006,0.009589828133137912,0.013719605471100071,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\K31__R100_i10000.txt,c9e0ff963101e5e5eb9e3070508df72c9acb13eb00f7c82d36ac90aa8668b10f,prepared/all20/inputs/BALX_004.txt,c9e0ff963101e5e5eb9e3070508df72c9acb13eb00f7c82d36ac90aa8668b10f,prepared/all20/canonical_300/BALX_004_arclength300.txt,f9a628494e3d001291b43e7ebc529f2709d0daf8f0c62035ef094d7a2734549e,False,False
BALX_005,all20,K31,R50,ALL20,26.13523205937009,1.1781827902137008,5.5,0.003819188772929833,0.025340690807935995,0.036955174139241986,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\K31__R50_i10000.txt,fdc8bf4f0c07389001175f29defc1892d0c8d9e4904b4c4ecb6889784bb3ac74,prepared/all20/inputs/BALX_005.txt,fdc8bf4f0c07389001175f29defc1892d0c8d9e4904b4c4ecb6889784bb3ac74,prepared/all20/canonical_300/BALX_005_arclength300.txt,b0c2dcaec99f3dd4413c504191cbb16003a71247d21d60fa85cc9d751eb6d0f9,False,False
BALX_006,all20,T23,B00,ALL20,15.0,1.0,5.0,0.005735598164475893,0.037677517444752895,0.057654861261926316,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\T23__B00_i10000.txt,7b83e1070bd6ec0fde31e4ee4d5d30d12d3523f6524a75f9ae284ca8727e1bf5,prepared/all20/inputs/BALX_006.txt,7b83e1070bd6ec0fde31e4ee4d5d30d12d3523f6524a75f9ae284ca8727e1bf5,prepared/all20/canonical_300/BALX_006_arclength300.txt,f76ebc80a5364e5c8e0a08fbe8517f882bd9de7efea5b60d8dee36686fb4e993,False,False
BALX_007,all20,T23,R25,ALL20,20.567616029685045,1.0890913951068504,5.25,0.006342964866026665,0.03965416605582717,0.05694525338055967,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\T23__R25_i10000.txt,231b2db0cb9f1e14456679b73858e073acc76f97610cb0f0b13219d49390453a,prepared/all20/inputs/BALX_007.txt,231b2db0cb9f1e14456679b73858e073acc76f97610cb0f0b13219d49390453a,prepared/all20/canonical_300/BALX_007_arclength300.txt,fc5a183a3efef8e9a7c0f7a4d3da14511a1d9724686aa4bc251be8007929873e,False,False
BALX_008,all20,T23,R50,ALL20,26.13523205937009,1.1781827902137008,5.5,0.005938324440587624,0.035762982888623784,0.049710240814272,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\T23__R50_i10000.txt,09e556733a889f91dae4d28908784acc3457b2a0062f144099804397d376d7d1,prepared/all20/inputs/BALX_008.txt,09e556733a889f91dae4d28908784acc3457b2a0062f144099804397d376d7d1,prepared/all20/canonical_300/BALX_008_arclength300.txt,86866dc73f33490620b4b534e38ed5756206925755b1ca35a1fb6dce5212a267,False,False
BALX_009,all20,K31,R75,ALL20,31.702848089055138,1.2672741853205514,5.75,0.0023585033635422116,0.018356613625542084,0.026155919334180378,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\K31__R75_i10000.txt,8353a4d76019970b595ac8506277d06f3cb39104fd3e7b4d94448013ea4473c5,prepared/all20/inputs/BALX_009.txt,8353a4d76019970b595ac8506277d06f3cb39104fd3e7b4d94448013ea4473c5,prepared/all20/canonical_300/BALX_009_arclength300.txt,bb70cf35854df99992caf1107b27b4faa7c6af3d06897af9d60f06b563d01c2d,False,False
BALX_010,all20,K31,B00,ALL20,15.0,1.0,5.0,0.00400307665975857,0.02783589443048895,0.04516136375460622,C:\workspace\projects\SST-Workbench\KnotPlot\Trefoil_Balance_Point_Campaign_v0.1.0\out\K31__B00_i10000.txt,8ad48cf281e042120e0082d3bf252cf6bd24080d6828ea8c59d9def32d160c1a,prepared/all20/inputs/BALX_010.txt,8ad48cf281e042120e0082d3bf252cf6bd24080d6828ea8c59d9def32d160c1a,prepared/all20/canonical_300/BALX_010_arclength300.txt,24f9c494f63998108314c241521fcc0b208f1cc090b4b2140f7ca29faca2ab7d,False,False
