low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
36,54,1,1,46,70,-0.0,-0.0,0.0,0.9977236434486656,0.9977236434486656,0.9997550532809779,3,3,16.0,21.333333333333332,RESOLVED,RESOLVED,0,0,0.0,1.1036656516564338,1.1369139964224249,real_dominant,real_dominant,UNDERRESOLVED,DIAGNOSTIC,False,0.9985729493894439,True,False
39,55,1,1,49,71,-0.0,-0.0,0.0,0.9977236434486657,0.9977236434486657,0.9997550532809779,3,3,16.0,21.333333333333332,RESOLVED,RESOLVED,0,0,0.0,1.1036656516564334,1.1369139964224255,real_dominant,real_dominant,UNDERRESOLVED,DIAGNOSTIC,False,0.9985729493894439,True,False
40,60,1,1,50,76,-0.024221401653509368,-0.03428770845658873,0.29358353929730246,0.9923486012032391,0.9923486012032391,0.9964898058047879,1,1,48.0,64.0,RESOLVED,RESOLVED,0.0204237559599,0.0182135314122,0.002210224547728599,1.3267884713949407,1.2550626170516859,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.950494081278545,False,False
41,61,1,1,51,77,0.024221401653509368,0.03428770845658873,0.29358353929730246,0.9923486012032391,0.9923486012032391,0.9964898058047879,1,1,48.0,64.0,RESOLVED,RESOLVED,-0.0204237559599,-0.0182135314122,0.002210224547728599,1.3267884713949407,1.2550626170516859,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.950494081278545,False,False
37,58,1,1,47,74,-0.024221401653509323,-0.034287708456588774,0.29358353929730446,0.9923486012032389,0.9923486012032389,0.9964898058047879,1,1,48.0,64.0,RESOLVED,RESOLVED,0.0204237559599,0.0182135314122,0.0022102245477275927,1.3267884713949396,1.2550626170516839,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.9504940812785445,False,False
38,59,1,1,48,75,0.024221401653509323,0.034287708456588774,0.29358353929730446,0.9923486012032389,0.9923486012032389,0.9964898058047879,1,1,48.0,64.0,RESOLVED,RESOLVED,-0.0204237559599,-0.0182135314122,0.0022102245477275927,1.3267884713949396,1.2550626170516839,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.9504940812785445,False,False
44,62,1,1,54,78,-0.025142736196911937,-0.04181611521425397,0.3987309421717523,0.9762113256035917,0.9762113256035917,0.9833161088154734,1,1,48.0,64.0,RESOLVED,RESOLVED,0.0011321476955,-0.00418436633514,0.005316514030641909,1.3011621609344268,1.2601023861671674,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.9217461812402605,False,False
45,63,1,1,55,79,0.025142736196911937,0.04181611521425397,0.3987309421717523,0.9762113256035917,0.9762113256035917,0.9833161088154734,1,1,48.0,64.0,RESOLVED,RESOLVED,-0.0011321476955,0.00418436633514,0.005316514030641909,1.3011621609344268,1.2601023861671674,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.9217461812402605,False,False
46,64,1,1,56,80,-0.025142736196912045,-0.0418161152142541,0.39873094217175165,0.9762113256035916,0.9762113256035916,0.983316108815473,1,1,48.0,64.0,RESOLVED,RESOLVED,0.0011321476955,-0.00418436633514,0.005316514030641855,1.3011621609344277,1.260102386167168,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.9217461812402603,False,False
47,65,1,1,57,81,0.025142736196912045,0.0418161152142541,0.39873094217175165,0.9762113256035916,0.9762113256035916,0.983316108815473,1,1,48.0,64.0,RESOLVED,RESOLVED,-0.0011321476955,0.00418436633514,0.005316514030641855,1.3011621609344277,1.260102386167168,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.9217461812402603,False,False
